Title,Author,Audiobook_URL
Ragtime,E. L. Doctorow,https://findaudiobook.co/?s=Ragtime
The Recognitions,William Gaddis,https://findaudiobook.co/?s=The+Recognitions
Red Harvest,Dashiell Hammett,https://findaudiobook.co/?s=Red+Harvest
Revolutionary Road,Richard Yates,https://findaudiobook.co/?s=Revolutionary+Road
The Sheltering Sky,Paul Bowles,https://findaudiobook.co/?s=The+Sheltering+Sky
Slaughterhouse-Five,Kurt Vonnegut,https://findaudiobook.co/?s=Slaughterhouse-Five
Snow Crash,Neal Stephenson,https://findaudiobook.co/?s=Snow+Crash
The Sot-Weed Factor,John Barth,https://findaudiobook.co/?s=The+Sot-Weed+Factor
The Sound and the Fury,William Faulkner,https://findaudiobook.co/?s=The+Sound+and+the+Fury
The Sportswriter,Richard Ford,https://findaudiobook.co/?s=The+Sportswriter
The Spy Who Came in From the Cold,John le Carré,https://findaudiobook.co/?s=The+Spy+Who+Came+in+From+the+Cold
The Sun Also Rises,Ernest Hemingway,https://findaudiobook.co/?s=The+Sun+Also+Rises
Their Eyes Were Watching God,Zora Neale Hurston,https://findaudiobook.co/?s=Their+Eyes+Were+Watching+God
Things Fall Apart,Chinua Achebe,https://findaudiobook.co/?s=Things+Fall+Apart
To Kill a Mockingbird,Harper Lee,https://findaudiobook.co/?s=To+Kill+a+Mockingbird
To the Lighthouse,Virginia Woolf,https://findaudiobook.co/?s=To+the+Lighthouse
Tropic of Cancer,Henry Miller,https://findaudiobook.co/?s=Tropic+of+Cancer
Ubik,Philip K. Dick,https://findaudiobook.co/?s=Ubik
Under the Net,Iris Murdoch,https://findaudiobook.co/?s=Under+the+Net
Under the Volcano,Malcolm Lowry,https://findaudiobook.co/?s=Under+the+Volcano
Watchmen,Alan Moore,https://findaudiobook.co/?s=Watchmen
White Noise,Don DeLillo,https://findaudiobook.co/?s=White+Noise
White Teeth,Zadie Smith,https://findaudiobook.co/?s=White+Teeth
Wide Sargasso Sea,Jean Rhys,https://findaudiobook.co/?s=Wide+Sargasso+Sea
An American Tragedy,Theodore Dreiser,https://findaudiobook.co/?s=An+American+Tragedy
Pride and Prejudice,Jane Austen,https://findaudiobook.co/?s=Pride+and+Prejudice
His Dark Materials,Philip Pullman,https://findaudiobook.co/?s=His+Dark+Materials
The Hitchhiker's Guide to the Galaxy,Douglas Adams,https://findaudiobook.co/?s=The+Hitchhiker%27s+Guide+to+the+Galaxy
Harry Potter and the Goblet of Fire,J. K Rowling,https://findaudiobook.co/?s=Harry+Potter+and+the+Goblet+of+Fire
Winnie the Pooh,A. A Milne,https://findaudiobook.co/?s=Winnie+the+Pooh
Jane Eyre,Charlotte Bronte,https://findaudiobook.co/?s=Jane+Eyre
Wuthering Heights,Emily Brontë,https://findaudiobook.co/?s=Wuthering+Heights
Rebecca,Daphne du Maurier,https://findaudiobook.co/?s=Rebecca
The Wind in the Willows,Kenneth Grahame,https://findaudiobook.co/?s=The+Wind+in+the+Willows
Great Expectations,Charles Dickens,https://findaudiobook.co/?s=Great+Expectations
Little Women,Louisa May Alcott,https://findaudiobook.co/?s=Little+Women
Corelli's Mandolin,Louis de Bernières,https://findaudiobook.co/?s=Corelli%27s+Mandolin
War and Peace,Leo Tolstoy,https://findaudiobook.co/?s=War+and+Peace
Harry Potter And The Philosopher's Stone,J. K Rowling,https://findaudiobook.co/?s=Harry+Potter+And+The+Philosopher%27s+Stone
Harry Potter And The Chamber Of Secrets,J. K Rowling,https://findaudiobook.co/?s=Harry+Potter+And+The+Chamber+Of+Secrets
Harry Potter And The Prisoner Of Azkaban,J. K Rowling,https://findaudiobook.co/?s=Harry+Potter+And+The+Prisoner+Of+Azkaban
The Hobbit,J. R. R. Tolkien,https://findaudiobook.co/?s=The+Hobbit
The Color Purple,Alice Walker,https://findaudiobook.co/?s=The+Color+Purple
Ulysses,James Joyce,https://findaudiobook.co/?s=Ulysses
Of Mice and Men,John Steinbeck,https://findaudiobook.co/?s=Of+Mice+and+Men
Charlotte's Web,E. B. White,https://findaudiobook.co/?s=Charlotte%27s+Web
A Portrait of the Artist as a Young Man,James Joyce,https://findaudiobook.co/?s=A+Portrait+of+the+Artist+as+a+Young+Man
Brave New World,Aldous Huxley,https://findaudiobook.co/?s=Brave+New+World
As I Lay Dying,William Faulkner,https://findaudiobook.co/?s=As+I+Lay+Dying
A Farewell to Arms,Ernest Hemingway,https://findaudiobook.co/?s=A+Farewell+to+Arms
Heart of Darkness,Joseph Conrad,https://findaudiobook.co/?s=Heart+of+Darkness
Song of Solomon,Toni Morrison,https://findaudiobook.co/?s=Song+of+Solomon
For Whom the Bell Tolls,Ernest Hemingway,https://findaudiobook.co/?s=For+Whom+the+Bell+Tolls
The Old Man and the Sea,Ernest Hemingway,https://findaudiobook.co/?s=The+Old+Man+and+the+Sea
The Call of the Wild,Jack London,https://findaudiobook.co/?s=The+Call+of+the+Wild
The World According to Garp,John Irving,https://findaudiobook.co/?s=The+World+According+to+Garp
A Room With a View,E. M. Forster,https://findaudiobook.co/?s=A+Room+With+a+View
Schindler's List,Thomas Keneally,https://findaudiobook.co/?s=Schindler%27s+List
The Age of Innocence,Edith Wharton,https://findaudiobook.co/?s=The+Age+of+Innocence
The Fountainhead,Ayn Rand,https://findaudiobook.co/?s=The+Fountainhead
Finnegans Wake,James Joyce,https://findaudiobook.co/?s=Finnegans+Wake
The Jungle,Upton Sinclair,https://findaudiobook.co/?s=The+Jungle
The Wonderful Wizard of Oz,L. Frank Baum,https://findaudiobook.co/?s=The+Wonderful+Wizard+of+Oz
Lady Chatterley's Lover,D. H. Lawrence,https://findaudiobook.co/?s=Lady+Chatterley%27s+Lover
The Awakening,Kate Chopin,https://findaudiobook.co/?s=The+Awakening
My Antonia,Willa Cather,https://findaudiobook.co/?s=My+Antonia
Howards End,E. M. Forster,https://findaudiobook.co/?s=Howards+End
In Cold Blood,Truman Capote,https://findaudiobook.co/?s=In+Cold+Blood
Franny and Zooey,J. D. Salinger,https://findaudiobook.co/?s=Franny+and+Zooey
Satanic Verses,Salman Rushdie,https://findaudiobook.co/?s=Satanic+Verses
Jazz,Toni Morrison,https://findaudiobook.co/?s=Jazz
Sophie's Choice,William Styron,https://findaudiobook.co/?s=Sophie%27s+Choice
Ethan Frome,Edith Wharton,https://findaudiobook.co/?s=Ethan+Frome
A Good Man Is Hard to Find,Flannery O'Connor,https://findaudiobook.co/?s=A+Good+Man+Is+Hard+to+Find
Tender Is the Night,F. Scott Fitzgerald,https://findaudiobook.co/?s=Tender+Is+the+Night
Orlando: A Biography,Virginia Woolf,https://findaudiobook.co/?s=Orlando%3A+A+Biography
Sons and Lovers,D. H. Lawrence,https://findaudiobook.co/?s=Sons+and+Lovers
Bonfire of the Vanities,Tom Wolfe,https://findaudiobook.co/?s=Bonfire+of+the+Vanities
Cat's Cradle,Kurt Vonnegut,https://findaudiobook.co/?s=Cat%27s+Cradle
A Separate Peace,John Knowles,https://findaudiobook.co/?s=A+Separate+Peace
Wings of the Dove,Henry James,https://findaudiobook.co/?s=Wings+of+the+Dove
Women in Love,D. H. Lawrence,https://findaudiobook.co/?s=Women+in+Love
"Look Homeward, Angel",Thomas Wolfe,https://findaudiobook.co/?s=Look+Homeward%2C+Angel
In Our Time,Ernest Hemingway,https://findaudiobook.co/?s=In+Our+Time
The Autobiography of Alice B. Toklas,Gertrude Stein,https://findaudiobook.co/?s=The+Autobiography+of+Alice+B.+Toklas
The Maltese Falcon,Dashiell Hammett,https://findaudiobook.co/?s=The+Maltese+Falcon
The Naked and the Dead,Norman Mailer,https://findaudiobook.co/?s=The+Naked+and+the+Dead
O Pioneers!,Willa Cather,https://findaudiobook.co/?s=O+Pioneers%21
War of the Worlds,H. G. Wells,https://findaudiobook.co/?s=War+of+the+Worlds
Lord Jim,Joseph Conrad,https://findaudiobook.co/?s=Lord+Jim
The Bostonians,Henry James,https://findaudiobook.co/?s=The+Bostonians
This Side of Paradise,F. Scott Fitzgerald,https://findaudiobook.co/?s=This+Side+of+Paradise
Atlas Shrugged,Ayn Rand,https://findaudiobook.co/?s=Atlas+Shrugged
Babbitt,Sinclair Lewis,https://findaudiobook.co/?s=Babbitt
Kim,Rudyard Kipling,https://findaudiobook.co/?s=Kim
The Beautiful and Damned,F. Scott Fitzgerald,https://findaudiobook.co/?s=The+Beautiful+and+Damned
Where Angels Fear to Tread,E. M. Forster,https://findaudiobook.co/?s=Where+Angels+Fear+to+Tread
Main Street,Sinclair Lewis,https://findaudiobook.co/?s=Main+Street
Don Quixote,Miguel de Cervantes,https://findaudiobook.co/?s=Don+Quixote
Pilgrim's Progress,John Bunyan,https://findaudiobook.co/?s=Pilgrim%27s+Progress
Robinson Crusoe,Daniel Defoe,https://findaudiobook.co/?s=Robinson+Crusoe
Gulliver's Travels,Jonathan Swift,https://findaudiobook.co/?s=Gulliver%27s+Travels
Tom Jones,Henry Fielding,https://findaudiobook.co/?s=Tom+Jones
Clarissa,Samuel Richardson,https://findaudiobook.co/?s=Clarissa
Tristram Shandy,Laurence Sterne,https://findaudiobook.co/?s=Tristram+Shandy
Dangerous Liaison,Pierre Choderlos de Laclos,https://findaudiobook.co/?s=Dangerous+Liaison
Emma,Jane Austen,https://findaudiobook.co/?s=Emma
Frankenstein,Mary Shelley,https://findaudiobook.co/?s=Frankenstein
Nightmare Abbey,Thomas Love Peacock,https://findaudiobook.co/?s=Nightmare+Abbey
Black Sheep,Georgette Heyer,https://findaudiobook.co/?s=Black+Sheep
The Charterhouse of Parma,Stendhal,https://findaudiobook.co/?s=The+Charterhouse+of+Parma
The Count of Monte Cristo,Alexandre Dumas,https://findaudiobook.co/?s=The+Count+of+Monte+Cristo
Sybil,Flora Rheta Schreiber,https://findaudiobook.co/?s=Sybil
David Copperfield,Charles Dickens,https://findaudiobook.co/?s=David+Copperfield
Vanity Fair,William Makepeace Thackeray,https://findaudiobook.co/?s=Vanity+Fair
The Scarlet Letter,Nathaniel Hawthorne,https://findaudiobook.co/?s=The+Scarlet+Letter
Moby Dick,Herman Melville,https://findaudiobook.co/?s=Moby+Dick
Madame Bovary,Gustave Flaubert,https://findaudiobook.co/?s=Madame+Bovary
The Woman in White,Wilkie Collins,https://findaudiobook.co/?s=The+Woman+in+White
Alice's Adventures in Wonderland,Lewis Carroll,https://findaudiobook.co/?s=Alice%27s+Adventures+in+Wonderland
The Way We Live Now,Anthony Trollope,https://findaudiobook.co/?s=The+Way+We+Live+Now
Anna Karenina,Leo Tolstoy,https://findaudiobook.co/?s=Anna+Karenina
